ACNT_ID_NUM_KEY,ACNT_ID_NUM,ACNT_ID_TYP_CD,ACNT_PRTY_REL,ACNT_NUM,PARNT_NSC_NUM,ACNT_OPN_DT,ACNT_NAME,ACNT_STS_CD,ACNT_CLSED_IND,JURIS_CD,SRC_SYS_ACNT_TYP,SRC_SYS_ACNT_SUB_TYP,ACNT_CCY_REF,LDGR_BAL_EOD,ACNT_MRKT_CLAS_CD,CUST_CR_CNTRL_STRTGY_CD,BUS_CTR_CNTRLD_IND,UNQ_ACNT_GRP_NUM,ACNT_SUB_OFC_CD,DR_INT_RATE_TYP,DR_INT_RATE,ACNT_DATA_SRC_CD,BATCH_PROCESS_NAME,START_DATE,LAST_UPDT_DATE,RECORD_DELETED_FLAG,SHDW_BAL_AMT,SHDW_BAL_DTTM,SHDW_BAL_SEQ,LDGR_BAL_AMT,LDGR_BAL_DTTM,LDGR_BAL_SEQ
BKKG^10000001^900001,BKKG^10000001^900001,,,,,,,,,,,,,,,,,,,,,,,,,,2447.17,2025-02-24 16:43:38.000,1,1947.53,2025-02-24 16:43:38.000,2
BKKG^10000002^900002,BKKG^10000002^900002,,,,,,,,,,,,,,,,,,,,,,,,,,1057.57,2025-02-24 16:04:49.000,3,4265.42,2025-02-24 16:04:49.000,4
BKKG^10000003^900003,BKKG^10000003^900003,,,,,,,,,,,,,,,,,,,,,,,,,,4595.9,2025-02-24 16:26:48.000,5,1509.98,2025-02-24 16:26:48.000,6
BKKG^10000004^900004,BKKG^10000004^900004,,,,,,,,,,,,,,,,,,,,,,,,,,733.03,2025-02-24 16:34:32.000,7,746.94,2025-02-24 16:34:32.000,8
BKKG^10000005^900005,BKKG^10000005^900005,,,,,,,,,,,,,,,,,,,,,,,,,,1523.87,2025-02-24 16:28:33.000,9,2127.15,2025-02-24 16:28:33.000,10
BKKG^10000006^900006,BKKG^10000006^900006,,,,,,,,,,,,,,,,,,,,,,,,,,2606.62,2025-02-24 16:14:38.000,11,234.46,2025-02-24 16:14:38.000,12
BKKG^10000007^900007,BKKG^10000007^900007,,,,,,,,,,,,,,,,,,,,,,,,,,3588.13,2025-02-24 16:32:12.000,13,2101.86,2025-02-24 16:32:12.000,14
BKKG^10000008^900008,BKKG^10000008^900008,,,,,,,,,,,,,,,,,,,,,,,,,,3567.48,2025-02-24 16:10:15.000,15,3249.79,2025-02-24 16:10:15.000,16
BKKG^10000009^900009,BKKG^10000009^900009,,,,,,,,,,,,,,,,,,,,,,,,,,108.59,2025-02-24 16:22:30.000,17,538.31,2025-02-24 16:22:30.000,18
BKKG^10000010^900010,BKKG^10000010^900010,,,,,,,,,,,,,,,,,,,,,,,,,,3189.93,2025-02-24 16:45:43.000,19,1590.48,2025-02-24 16:45:43.000,20
BKKG^10000011^900011,BKKG^10000011^900011,,,,,,,,,,,,,,,,,,,,,,,,,,3076.13,2025-02-24 16:38:23.000,21,2628.9,2025-02-24 16:38:23.000,22
BKKG^10000012^900012,BKKG^10000012^900012,,,,,,,,,,,,,,,,,,,,,,,,,,4910.01,2025-02-24 16:32:29.000,23,3886.86,2025-02-24 16:32:29.000,24
BKKG^10000013^900013,BKKG^10000013^900013,,,,,,,,,,,,,,,,,,,,,,,,,,2854.39,2025-02-24 16:01:12.000,25,4282.51,2025-02-24 16:01:12.000,26
BKKG^10000014^900014,BKKG^10000014^900014,,,,,,,,,,,,,,,,,,,,,,,,,,2834.11,2025-02-24 16:08:01.000,27,2734.56,2025-02-24 16:08:01.000,28
BKKG^10000015^900015,BKKG^10000015^900015,,,,,,,,,,,,,,,,,,,,,,,,,,4363.35,2025-02-24 15:53:47.000,29,3746.54,2025-02-24 15:53:47.000,30
